scope,model,seeds,auroc_mean,auroc_sample_sd,auprc_mean,auprc_sample_sd,balanced_accuracy_mean,balanced_accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd
genimage_unseen,B2,"42,43,44",0.9840714583333332,0.0002491985382347,0.9818493092051253,0.0001554122086229,0.93325,0.0016393596310755,0.9331745799755276,0.0016563144195852
genimage_unseen,A1,"42,43,44",0.9881944166666666,0.000128553571842,0.9874154168321786,0.0001365403222461,0.937,0.0031917863337009,0.9369241850727053,0.0032192125610869
defactify_full,B2,"42,43,44",0.8090606334814815,0.0013180493178705,0.94874262914311,0.0005492410189657,0.6635244444444445,0.0096541190594903,0.6777942192482186,0.0066617242534349
defactify_full,A1,"42,43,44",0.7960395792592593,0.0015835712362516,0.9459386158515196,0.0005408607200736,0.6621866666666667,0.0114230721689823,0.6726471664762425,0.0060208803251964
defactify_balanced,B2,"42,43,44",0.8087317422222222,0.0014849891626258,0.8000355622884007,0.0022823231685308,0.662,0.0097394957660947,0.6377016644086972,0.0135724666749115
defactify_balanced,A1,"42,43,44",0.7950210429629629,0.0016161454750394,0.7911506567272096,0.0019218044372392,0.6616222222222222,0.0118975876795505,0.6384869803922738,0.0173708515163963
