role,transform,auroc_mean,auroc_sample_sd,auprc_mean,balanced_accuracy_mean,auroc_delta_mean
B2,clean,0.9840714583333333,0.00024919853823474644,0.9818493092051251,0.93325,0.0
B2,jpeg,0.969121375,0.0012295092580476498,0.9677787870123801,0.9064166666666668,-0.014950083333333267
B2,resize,0.9601789583333332,0.0009233140068298741,0.9574904396896248,0.9010833333333333,-0.0238924999999999
B2,blur,0.9590655416666666,0.0007586131294726684,0.9574064968369503,0.8979166666666667,-0.025005916666666534
A1,clean,0.9881944166666666,0.00012855357184202949,0.9874154168321786,0.9369999999999999,0.0
A1,jpeg,0.9788853333333334,0.00023006661173098202,0.9787145953592553,0.9258333333333333,-0.009309083333333266
A1,resize,0.9676928333333333,0.00032100528941644303,0.9676388940548812,0.9078333333333334,-0.020501583333333236
A1,blur,0.9672439166666665,0.00035833027130476535,0.9669182385034203,0.9036666666666666,-0.02095049999999987
