experiment_name,scope,num_samples,num_real,num_fake,accuracy,balanced_accuracy,precision,recall,f1,auroc,label_b,generator,mean_fake_probability,false_negatives,false_negative_rate
defactify_external_available_resnet50,balanced_from_full_predictions,9000,7500,1500,0.5268888888888889,0.5545333333333333,0.19665640123185218,0.596,0.2957327158451869,0.5870546666666666,1,Stable Diffusion 2.1,0.5809559772762961,606,0.404
defactify_external_available_resnet50,balanced_from_full_predictions,9000,7500,1500,0.47244444444444444,0.3912,0.09960552268244575,0.2693333333333333,0.14542836573074155,0.34097960000000005,2,Stable Diffusion XL,0.28783646267821844,1096,0.7306666666666667
defactify_external_available_resnet50,balanced_from_full_predictions,9000,7500,1500,0.4918888888888889,0.44953333333333334,0.13684708106830537,0.386,0.2020589774908393,0.4320041777777777,3,Stable Diffusion 3,0.396180643332427,921,0.614
defactify_external_available_resnet50,balanced_from_full_predictions,9000,7500,1500,0.5938888888888889,0.7555333333333334,0.2907360652553894,0.998,0.45029327718453904,0.9760384888888889,4,DALL-E 3,0.9911676474908988,3,0.002
defactify_external_available_resnet50,balanced_from_full_predictions,9000,7500,1500,0.5871111111111111,0.7352000000000001,0.28223270440251574,0.9573333333333334,0.43594414086217365,0.8849847111111111,5,Midjourney 6,0.9256073017030334,64,0.042666666666666665
