scope,metric,A1,B2,a1_minus_b2
defactify_balanced,accuracy,0.6616222222222222,0.662,-0.0003777777777778102
defactify_balanced,auprc,0.7911506567272096,0.8000355622884007,-0.008884905561191037
defactify_balanced,auroc,0.7950210429629629,0.8087317422222222,-0.013710699259259274
defactify_balanced,balanced_accuracy,0.6616222222222222,0.662,-0.0003777777777778102
defactify_balanced,binary_f1,0.7296843605581799,0.7314127922336026,-0.0017284316754226925
defactify_balanced,fake_recall,0.9131555555555555,0.9202666666666667,-0.007111111111111179
defactify_balanced,macro_f1,0.6384869803922738,0.6377016644086972,0.0007853159835765622
defactify_balanced,precision,0.6077516527038949,0.6069414576627572,0.0008101950411376624
defactify_balanced,real_recall,0.4100888888888889,0.4037333333333333,0.006355555555555614
defactify_full,accuracy,0.8302518518518518,0.8367185185185185,-0.006466666666666732
defactify_full,auprc,0.9459386158515196,0.9487426291431099,-0.0028040132915903015
defactify_full,auroc,0.7960395792592593,0.8090606334814815,-0.013021054222222217
defactify_full,balanced_accuracy,0.6621866666666667,0.6635244444444445,-0.001337777777777771
defactify_full,binary_f1,0.8997472620562474,0.9040690770833312,-0.004321815027083731
defactify_full,fake_recall,0.9142844444444443,0.9233155555555557,-0.009031111111111323
defactify_full,macro_f1,0.6726471664762425,0.6777942192482186,-0.005147052771976135
defactify_full,precision,0.8857617416036209,0.8856419459534519,0.00011979565016895233
defactify_full,real_recall,0.4100888888888889,0.4037333333333333,0.006355555555555614
genimage_unseen,accuracy,0.937,0.93325,0.003750000000000031
genimage_unseen,auprc,0.9874154168321786,0.9818493092051251,0.0055661076270534515
genimage_unseen,auroc,0.9881944166666666,0.9840714583333333,0.004122958333333315
genimage_unseen,balanced_accuracy,0.937,0.93325,0.003750000000000031
genimage_unseen,binary_f1,0.934756865153274,0.9309376657922658,0.003819199361008274
genimage_unseen,fake_recall,0.9028333333333334,0.8998333333333333,0.0030000000000001137
genimage_unseen,macro_f1,0.9369241850727051,0.9331745799755277,0.0037496050971774775
genimage_unseen,precision,0.9690707497413259,0.964288042792316,0.004782706949009952
genimage_unseen,real_recall,0.9711666666666667,0.9666666666666667,0.0045000000000000595
