experiment_name,scope,num_samples,num_real,num_fake,accuracy,balanced_accuracy,precision,recall,f1,auroc,label_b,generator,mean_fake_probability,false_negatives,false_negative_rate
defactify_external_available_resnet50,official_full,15000,7500,7500,0.5544666666666667,0.5544666666666667,0.5503016869843615,0.5958666666666667,0.5721784776902887,0.5877306755555556,1,Stable Diffusion 2.1,0.5797384668824968,3031,0.40413333333333334
defactify_external_available_resnet50,official_full,15000,7500,7500,0.39426666666666665,0.39426666666666665,0.36131514515564883,0.2754666666666667,0.3126040248146467,0.3468017955555555,2,Stable Diffusion XL,0.29452131643643226,5434,0.7245333333333334
defactify_external_available_resnet50,official_full,15000,7500,7500,0.4513333333333333,0.45133333333333336,0.44447824764222693,0.3896,0.4152337643882336,0.43385015111111114,3,Stable Diffusion 3,0.3979427025663132,4578,0.6104
defactify_external_available_resnet50,official_full,15000,7500,7500,0.7547333333333334,0.7547333333333333,0.6717303370786517,0.9964,0.8024697986577182,0.9747825066666667,4,DALL-E 3,0.9904502543737491,27,0.0036
defactify_external_available_resnet50,official_full,15000,7500,7500,0.7412666666666666,0.7412666666666667,0.6656596173212488,0.9694666666666667,0.7893394126906584,0.8925940000000001,5,Midjourney 6,0.9343696928604817,229,0.030533333333333332
